sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,cpu_form_factor,cpu_socket,errors
btd-046996,H81I-PLUS/CSM,H81I-PLUS/CSM ASUS Socket LGA 1150 Intel H81 Chipset 4th Generation Core i7 / i5 / i3 / Pentium / Celeron Processors Support DDR3 2x U-DIMM 2x SATA 6.0Gb/s Mini ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,115.24,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> H81I-PLUS/CSM</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Mini-ITX</li><li><strong>CPU Socket Type :</strong> LGA 1150</li><li><strong>Supported CPU(s) :</strong> Intel Celeron ProcessorIntel Core i3 ProcessorIntel Core i5 ProcessorIntel Core i7 ProcessorIntel Pentium Processor</li><li><strong>Chipset :</strong> Intel H81</li><li><strong>Number of Memory Slot(s) :</strong> 2</li><li><strong>Number of Memory Channel(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC3-10600 (DDR3-1333)PC3-12800 (DDR3-1600)PC3-8500 (DDR3-1066)</li><li><strong>Maximum Installed Memory :</strong> 16 GB</li><li><strong>Expansion Slots :</strong> PCI-E 2.0 x16</li><li><strong>Storage Controller :</strong> SATA 3.0 GbpsSATA 6.0 Gbps</li><li><strong>Audio Controller :</strong> Realtek ALC887</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> 24-pin ATX Power ConnectorChassis Fan ConnectorCPU Fan ConnectorDVI-DHDMITPM HeaderUSB 2.0USB 3.1</li><li><strong>Connectors/Ports Details :</strong> Back I/O Ports1 x PS/2 keyboard/mouse combo port(s)1 x DVI-D1 x D-Sub1 x HDMI1 x LAN (RJ45) port(s)2 x USB 3.1 Gen 14 x USB 2.03 x Audio jack(s)Internal I/O Ports1 x USB 3.1 Gen 1 connector(s) support(s) additional 2 USB 3.1 Gen 1 port(s)2 x USB 2.0 connector(s) support(s) additional 4 USB 2.0 port(s)1 x TPM header2 x SATA 6Gb/s connector(s)2 x SATA 3Gb/s connector(s)1 x CPU Fan connector(s) (1 x 4 -pin)1 x Chassis Fan connector(s) (1 x 4 -pin)1 x S/PDIF out header(s)1 x 24-pin EATX Power connector(s)1 x 4-pin ATX 12V Power connector(s)1 x Front panel connector(s)1 x Internal speaker connector(s)1 x System panel(s)1 x Clear CMOS jumper(s)</li></ul>",<ul> <li><strong>Part No. :</strong> H81I-PLUS/CSM</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,H81I-PLUS/CSM ASUS Socket LGA 1150 Intel H81 Chipset 4th Generation Core i7 / i5 / i3 / Pentium / Celeron Processors Support DDR3 2x U-DIMM 2x SATA 6.0Gb/s Mini ITX Motherboard (Refurbished),,,btd-046996.jpeg,btd-046996.jpeg,btd-046996.jpeg,ASUS,Mini-ITX,LGA 1150,
btd-050382,D845GVSH-BO-R,D845GVSH-BO-R Intel 845GV Chipset Intel Celeron Processors Support DDR 1x DIMM Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,113.93,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> D845GVSH-BO-R</li><li><strong>Form Factor :</strong> Mini-ITX</li></ul>",<ul> <li><strong>Part No. :</strong> D845GVSH-BO-R</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,D845GVSH-BO-R Intel 845GV Chipset Intel Celeron Processors Support DDR 1x DIMM Mini-ITX Motherboard (Refurbished),,,btd-050382.jpeg,btd-050382.jpeg,btd-050382.jpeg,Intel,Mini-ITX,,
btd-050383,J1900I,J1900I MSI Intel Celeron J1900 Processors Support DDR3 2x DIMM 2x SATA2 Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,177.49,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> MSI</li><li><strong>Manufacturer Part # :</strong> J1900I</li><li><strong>Form Factor :</strong> Mini-ITX</li></ul>",<ul> <li><strong>Part No. :</strong> J1900I</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> MSI</li> ,,"Catalog, Search",Taxable Goods,J1900I MSI Intel Celeron J1900 Processors Support DDR3 2x DIMM 2x SATA2 Mini-ITX Motherboard (Refurbished),,,btd-050383.jpeg,btd-050383.jpeg,btd-050383.jpeg,MSI,Mini-ITX,,
btd-050384,BOXDH61AGB3,BOXDH61AGB3 Intel BOXDH61AG H61 1155 DDR3 SATA2 USB 3 0 Thin Mini ITX (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,150.34,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> BOXDH61AGB3</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Mini-ITX</li><li><strong>CPU Socket Type :</strong> LGA 1155</li><li><strong>Chipset :</strong> Intel H61 Express</li><li><strong>Number of Memory Slot(s) :</strong> 2</li><li><strong>Number of Memory Channel(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC3-10600 (DDR3-1333)PC3-12800 (DDR3-1600)PC3-8500 (DDR3-1066)</li><li><strong>Maximum Installed Memory :</strong> 16.6GB</li><li><strong>Expansion Slots :</strong> PCI-E 2.0 x1PCI-E 2.0 x16PCI-E 2.0 x4PCI-E x1PCI-E x16PCI-E x4PCI-E x8</li><li><strong>Storage Controller :</strong> SATA 6.0 Gbps</li><li><strong>Network :</strong> Ethernet</li><li><strong>Connectors/Ports :</strong> ParallelPS/2SerialUSB 2.0USB 3.0</li></ul>",<ul> <li><strong>Part No. :</strong> BOXDH61AGB3</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,BOXDH61AGB3 Intel BOXDH61AG H61 1155 DDR3 SATA2 USB 3 0 Thin Mini ITX (Refurbished),,,btd-050384.jpeg,btd-050384.jpeg,btd-050384.jpeg,Intel,Mini-ITX,LGA 1155,
btd-050385,609-9832-06S,609-9832-06S MSI Intel 945GC Express/ ICH7 Chipset Intel Atom Processors Support DDR2 1x DIMM 4x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,304.17,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> 609-9832-06S</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,609-9832-06S MSI Intel 945GC Express/ ICH7 Chipset Intel Atom Processors Support DDR2 1x DIMM 4x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),,,btd-050385.jpeg,btd-050385.jpeg,btd-050385.jpeg,,,,
btd-050386,BLKD2550DC2,BLKD2550DC2 Intel Desktop Motherboard D2550DC2 iNM10 Express Chipset mini ITX (1 x Single Pack) (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,133.95,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> BLKD2550DC2</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,BLKD2550DC2 Intel Desktop Motherboard D2550DC2 iNM10 Express Chipset mini ITX (1 x Single Pack) (Refurbished),,,btd-050386.jpeg,btd-050386.jpeg,btd-050386.jpeg,,,,
btd-050387,90-MIBFG0-G0EAY0KZ,90-MIBFG0-G0EAY0KZ ASUS AT4NM10T-I Socket On Board Intel NM10 Chipset Intel Atom D425 Processors Support DDR3 2x SO-DIMM 2x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,116.09,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> 90-MIBFG0-G0EAY0KZ</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Mini-ITX</li><li><strong>Supported CPU(s) :</strong> Intel Atom Processor</li><li><strong>Supported CPU Technologies :</strong> 64-bitExecute Disable BitHyper-Threading Technology</li><li><strong>Chipset :</strong> Intel NM10 Express</li><li><strong>Number of Memory Slot(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC3-6400 (DDR3-800)</li><li><strong>Maximum Installed Memory :</strong> 4 GB</li><li><strong>Expansion Slots :</strong> PCI-E x4</li><li><strong>Storage Controller :</strong> SATA 3.0 Gbps</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> Audio-InAudio-OutChassis Fan ConnectorCOMCPU Fan ConnectorPS/2 KeyboardPS/2 MouseUSB 2.0</li><li><strong>Connectors/Ports Details :</strong> Back I/O Ports1 x PS/2 keyboard/mouse combo port(s)1 x D-Sub1 x LAN (RJ45) port(s)6 x USB 2.01 x COM port(s)3 x Audio jack(s)Internal I/O Ports1 x USB 2.0 connector(s) support(s) additional 2 USB 2.0 port(s)1 x TPM connector(s) (Optional)1 x COM port(s) connector(s)1 x CPU Fan connector(s)1 x Chassis Fan connector(s)1 x S/PDIF out header(s)1 x 24-pin EATX Power connector(s)1 x 4-pin ATX 12V Power connector(s)1 x parallel port connector(s)1 x Front panel audio connector(s) (AAFP)1 x System panel(s)1 x Chassis Intrusion connector(s)1 x 18 bit LVDS connector(s)</li></ul>",<ul> <li><strong>Part No. :</strong> 90-MIBFG0-G0EAY0KZ</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,90-MIBFG0-G0EAY0KZ ASUS AT4NM10T-I Socket On Board Intel NM10 Chipset Intel Atom D425 Processors Support DDR3 2x SO-DIMM 2x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),,,btd-050387.jpeg,btd-050387.jpeg,btd-050387.jpeg,ASUS,Mini-ITX,,
btd-050388,ZT-H67ITX-D-E,ZT-H67ITX-D-E Zotac H67-itx Motherboard Intel LGA1155 H67 Express Mini-itx Gigabit W (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,267.64,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Zotac</li><li><strong>Manufacturer Part # :</strong> ZT-H67ITX-D-E</li><li><strong>Form Factor :</strong> Mini-ITX</li></ul>",<ul> <li><strong>Part No. :</strong> ZT-H67ITX-D-E</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Zotac</li> ,,"Catalog, Search",Taxable Goods,ZT-H67ITX-D-E Zotac H67-itx Motherboard Intel LGA1155 H67 Express Mini-itx Gigabit W (Refurbished),,,btd-050388.jpeg,btd-050388.jpeg,btd-050388.jpeg,Zotac,Mini-ITX,,
btd-050389,BLKD510M0,BLKD510M0 Intel D510MO Socket BGA Intel NM10 Express Chipset Intel Atom D510 Processors Support DDR2 2x DIMM 2x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,189.97,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> BLKD510M0</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Mini-ITX</li><li><strong>CPU Socket Type :</strong> BGA</li><li><strong>Chipset :</strong> Intel NM10 Express</li><li><strong>Number of Memory Slot(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC2-5300 (DDR2-667)PC2-6400 (DDR2-800)</li><li><strong>Maximum Installed Memory :</strong> 4 GB</li><li><strong>Expansion Slots :</strong> Mini PCIPCI</li><li><strong>Storage Controller :</strong> SATA 3.0 Gbps</li><li><strong>Audio Controller :</strong> Realtek ALC662</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> Audio-InAudio-OutMicrophoneParallelRJ-45SerialUSB 2.0VGA</li></ul>",<ul> <li><strong>Part No. :</strong> BLKD510M0</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,BLKD510M0 Intel D510MO Socket BGA Intel NM10 Express Chipset Intel Atom D510 Processors Support DDR2 2x DIMM 2x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),,,btd-050389.jpeg,btd-050389.jpeg,btd-050389.jpeg,Intel,Mini-ITX,BGA,
btd-050390,MBD-X11SBA-F-O,MBD-X11SBA-F-O SuperMicro X11SBA-F Socket FCBGA1170 System On Chipset Intel Pentium N3710 Processors Support DDR3 2x DIMM 2x SATA3 6.0Gb/s Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,380.17,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> MBD-X11SBA-F-O</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,MBD-X11SBA-F-O SuperMicro X11SBA-F Socket FCBGA1170 System On Chipset Intel Pentium N3710 Processors Support DDR3 2x DIMM 2x SATA3 6.0Gb/s Mini-ITX Motherboard (Refurbished),,,btd-050390.jpeg,btd-050390.jpeg,btd-050390.jpeg,,,,
btd-041084,90-MXGPL0-A0UAYZ,90-MXGPL0-A0UAYZ ASRock H87M-ITX Socket LGA 1150 Intel H87 Chipset New 4th & 4th Generation Core i7 / i5 / i3 / Pentium / Celeron Processors Support DDR3 2x DIMM 4x SATA3 6.0Gb/s Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,131.40,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASRock</li><li><strong>Manufacturer Part # :</strong> 90-MXGPL0-A0UAYZ</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Mini-ITX</li><li><strong>CPU Socket Type :</strong> LGA 1150</li><li><strong>Supported CPU(s) :</strong> Intel Celeron ProcessorIntel Core i3 ProcessorIntel Core i5 ProcessorIntel Core i7 ProcessorIntel Pentium ProcessorIntel Xeon Processor</li><li><strong>Supported CPU Technologies :</strong> Intel Turbo Boost Technology</li><li><strong>Chipset :</strong> Intel H87</li><li><strong>Number of Memory Slot(s) :</strong> 2</li><li><strong>Number of Memory Channel(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC3-10600 (DDR3-1333)PC3-12800 (DDR3-1600)PC3-8500 (DDR3-1066)</li><li><strong>Maximum Installed Memory :</strong> 16 GB</li><li><strong>Expansion Slots :</strong> PCI-E 3.0 x16</li><li><strong>Storage Controller :</strong> SATA 6.0 Gbps</li><li><strong>Audio Controller :</strong> Realtek ALC892</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> 24-pin ATX Power ConnectorAudio-InChassis Fan ConnectorCPU Fan ConnectorD-SubDVI-DHDMIMicrophonePS/2 KeyboardPS/2 MouseRJ-45TPM HeaderUSB 2.0USB 3.1</li></ul>",<ul> <li><strong>Part No. :</strong> 90-MXGPL0-A0UAYZ</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASRock</li> ,,"Catalog, Search",Taxable Goods,90-MXGPL0-A0UAYZ ASRock H87M-ITX Socket LGA 1150 Intel H87 Chipset New 4th & 4th Generation Core i7 / i5 / i3 / Pentium / Celeron Processors Support DDR3 2x DIMM 4x SATA3 6.0Gb/s Mini-ITX Motherboard (Refurbished),,,btd-041084.jpeg,btd-041084.jpeg,btd-041084.jpeg,ASRock,Mini-ITX,LGA 1150,
btd-043632,FM2-A75IA-E53,FM2-A75IA-E53 MSI Socket FM2 AMD A75 Chipset AMD A8/A6/A4/A10-Series Processors Support DDR3 2x DIMM 4x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,115.24,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> FM2-A75IA-E53</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,FM2-A75IA-E53 MSI Socket FM2 AMD A75 Chipset AMD A8/A6/A4/A10-Series Processors Support DDR3 2x DIMM 4x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),,,btd-043632.jpeg,btd-043632.jpeg,btd-043632.jpeg,,,,
btd-050393,A1SRI2358FO,A1SRI2358FO SuperMicro Intel Atom C2358 DDR3 SATA3&usb3.0 V&4GBe Mini-itx Motherboard & CPU Combo (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,292.10,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> SuperMicro</li><li><strong>Manufacturer Part # :</strong> A1SRI2358FO</li><li><strong>Form Factor :</strong> Mini-ITX</li></ul>",<ul> <li><strong>Part No. :</strong> A1SRI2358FO</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> SuperMicro</li> ,,"Catalog, Search",Taxable Goods,A1SRI2358FO SuperMicro Intel Atom C2358 DDR3 SATA3&usb3.0 V&4GBe Mini-itx Motherboard & CPU Combo (Refurbished),,,btd-050393.jpeg,btd-050393.jpeg,btd-050393.jpeg,SuperMicro,Mini-ITX,,
btd-048052,BLKD425KT,BLKD425KT Intel Desktop Motherboard D425KT iNM10 Express Chipset mini ITX 1 x Processor Support (1 x Single Pack) (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,99.83,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> BLKD425KT</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,BLKD425KT Intel Desktop Motherboard D425KT iNM10 Express Chipset mini ITX 1 x Processor Support (1 x Single Pack) (Refurbished),,,btd-048052.jpeg,btd-048052.jpeg,btd-048052.jpeg,,,,
btd-042926,D945GCL,D945GCL Intel Desktop Motherboard Socket 437 533MHz FSB mini ITX (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,151.49,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> D945GCL</li></ul>",<ul> <li><strong>Part No. :</strong> D945GCL</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,D945GCL Intel Desktop Motherboard Socket 437 533MHz FSB mini ITX (Refurbished),,,btd-042926.jpeg,btd-042926.jpeg,btd-042926.jpeg,Intel,,,
btd-050396,X9SCV-QV4-B,X9SCV-QV4-B SuperMicro X9SCV-QV4 Socket G2 Intel QM67 Chipset 2nd/3rd Generation Core i7 / i5 / i3 / Celeron Processors Support DDR3 2x So-DIMM 4x SATA2 3.0Gb/s Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,278.59,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> SuperMicro</li><li><strong>Manufacturer Part # :</strong> X9SCV-QV4-B</li><li><strong>Product Type :</strong> Server Motherboard</li><li><strong>Form Factor :</strong> Mini-ITX</li><li><strong>CPU Socket Type :</strong> Socket G2 (rPGA 988B)</li><li><strong>Supported CPU(s) :</strong> Intel Celeron ProcessorIntel Core i3 ProcessorIntel Core i5 ProcessorIntel Core i7 ProcessorIntel Pentium Processor</li><li><strong>Chipset :</strong> Intel QM67 Express</li><li><strong>Number of Memory Slot(s) :</strong> 2</li><li><strong>Number of Memory Channel(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC3-10600 (DDR3-1333)PC3-8500 (DDR3-1066)</li><li><strong>Maximum Installed Memory :</strong> 16 GB</li><li><strong>Expansion Slots :</strong> PCI-E 2.0 x16</li><li><strong>Storage Controller :</strong> SATA 3.0 Gbps</li><li><strong>Audio Controller :</strong> Realtek ALC889</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> Audio-InAudio-OutCOMD-SubHDMIRJ-45USB 2.0</li></ul>",<ul> <li><strong>Part No. :</strong> X9SCV-QV4-B</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> SuperMicro</li> ,,"Catalog, Search",Taxable Goods,X9SCV-QV4-B SuperMicro X9SCV-QV4 Socket G2 Intel QM67 Chipset 2nd/3rd Generation Core i7 / i5 / i3 / Celeron Processors Support DDR3 2x So-DIMM 4x SATA2 3.0Gb/s Mini-ITX Motherboard (Refurbished),,,btd-050396.jpeg,btd-050396.jpeg,btd-050396.jpeg,SuperMicro,Mini-ITX,Socket G2 (rPGA 988B),
btd-048054,BOXDH67CF,BOXDH67CF Intel Desktop Motherboard DH67CF iH67 Express Chipset Socket H2 LGA1155 mini ITX 1 x Processor Support (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,147.75,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> BOXDH67CF</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,BOXDH67CF Intel Desktop Motherboard DH67CF iH67 Express Chipset Socket H2 LGA1155 mini ITX 1 x Processor Support (Refurbished),,,btd-048054.jpeg,btd-048054.jpeg,btd-048054.jpeg,,,,
btd-047012,7851-002R,7851-002R MSI H97I AC Socket LGA 1150 Intel H97 Chipset 4th/5th Generation Core i7 / i5 / i3 / Pentium / Celeron Processors Support DDR3 2x DIMM 4x SATA 6.0Gb/s Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,187.82,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> MSI</li><li><strong>Manufacturer Part # :</strong> 7851-002R</li><li><strong>Form Factor :</strong> Mini-ITX</li></ul>",<ul> <li><strong>Part No. :</strong> 7851-002R</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> MSI</li> ,,"Catalog, Search",Taxable Goods,7851-002R MSI H97I AC Socket LGA 1150 Intel H97 Chipset 4th/5th Generation Core i7 / i5 / i3 / Pentium / Celeron Processors Support DDR3 2x DIMM 4x SATA 6.0Gb/s Mini-ITX Motherboard (Refurbished),,,btd-047012.jpeg,btd-047012.jpeg,btd-047012.jpeg,MSI,Mini-ITX,,
btd-050399,X7SPA-HF-O,X7SPA-HF-O SuperMicro X7SPA-HF Intel Atom D510 Processors Support DDR2 2x DIMM 6x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,351.93,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> X7SPA-HF-O</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,X7SPA-HF-O SuperMicro X7SPA-HF Intel Atom D510 Processors Support DDR2 2x DIMM 6x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),,,btd-050399.jpeg,btd-050399.jpeg,btd-050399.jpeg,,,,
btd-040742,M4A88TIDELUXE,M4A88TIDELUXE ASUS Socket AM3 AMD 880G + SB710 Chipset AMD Phenom II/ AMD Athlon II/ AMD Sempron 100 Series Processors Support DDR3 3x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,158.56,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> M4A88TIDELUXE</li><li><strong>CPU Socket Type :</strong> Socket AM3</li></ul>",<ul> <li><strong>Part No. :</strong> M4A88TIDELUXE</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,M4A88TIDELUXE ASUS Socket AM3 AMD 880G + SB710 Chipset AMD Phenom II/ AMD Athlon II/ AMD Sempron 100 Series Processors Support DDR3 3x SATA 3.0Gb/s Mini-ITX Motherboard (Refurbished),,,btd-040742.jpeg,btd-040742.jpeg,btd-040742.jpeg,ASUS,,Socket AM3,
btd-050401,DBS1200KP,DBS1200KP Intel S1200KP Socket LGA 1155 Intel C206 Chipset Intel Xeon/ Core i3/ Pentium/ Celeron Processors Support DDR3 2x DIMM 2x SATA 3.0Gb/s Mini-ITX Server Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Form Factor/Mini-ITX Motherboards,311.78,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> DBS1200KP</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,DBS1200KP Intel S1200KP Socket LGA 1155 Intel C206 Chipset Intel Xeon/ Core i3/ Pentium/ Celeron Processors Support DDR3 2x DIMM 2x SATA 3.0Gb/s Mini-ITX Server Motherboard (Refurbished),,,btd-050401.jpeg,btd-050401.jpeg,btd-050401.jpeg,,,,
